date,SPY,IWM,EFA,EEM,AGG,BIL,SHY,IEF,TLT,TIP,LQD,HYG,GLD,DBC
1994-06-21,25.6844749451,,,,,,,,,,,,,
1994-06-22,25.7823581696,,,,,,,,,,,,,
1994-06-23,25.6310825348,,,,,,,,,,,,,
1994-06-24,25.0971031189,,,,,,,,,,,,,
1994-06-27,25.5331783295,,,,,,,,,,,,,
1994-06-28,25.4085597992,,,,,,,,,,,,,
1994-06-29,25.4886856079,,,,,,,,,,,,,
1994-06-30,25.3284721375,,,,,,,,,,,,,
1994-07-01,25.3818798065,,,,,,,,,,,,,
1994-07-05,25.5153732300,,,,,,,,,,,,,
1994-07-06,25.4797649384,,,,,,,,,,,,,
1994-07-07,25.5865707397,,,,,,,,,,,,,
1994-07-08,25.5776767731,,,,,,,,,,,,,
1994-07-11,25.4886856079,,,,,,,,,,,,,
1994-07-12,25.5242691040,,,,,,,,,,,,,
1994-07-13,25.5687656403,,,,,,,,,,,,,
1994-07-14,25.8446598053,,,,,,,,,,,,,
1994-07-15,25.8535633087,,,,,,,,,,,,,
1994-07-18,25.8980674744,,,,,,,,,,,,,
1994-07-19,25.8446598053,,,,,,,,,,,,,
1994-07-20,25.7289600372,,,,,,,,,,,,,
1994-07-21,25.7823581696,,,,,,,,,,,,,
1994-07-22,25.8268623352,,,,,,,,,,,,,
1994-07-25,25.8624572754,,,,,,,,,,,,,
1994-07-26,25.8357715607,,,,,,,,,,,,,
1994-07-27,25.8357715607,,,,,,,,,,,,,
1994-07-28,25.8891582489,,,,,,,,,,,,,
1994-07-29,26.1472473145,,,,,,,,,,,,,
1994-08-01,26.2718353271,,,,,,,,,,,,,
1994-08-02,26.3074398041,,,,,,,,,,,,,
1994-08-03,26.3163604736,,,,,,,,,,,,,
1994-08-04,26.1650390625,,,,,,,,,,,,,
1994-08-05,26.0760555267,,,,,,,,,,,,,
1994-08-08,26.1383514404,,,,,,,,,,,,,
1994-08-09,26.1828651428,,,,,,,,,,,,,
1994-08-10,26.2807350159,,,,,,,,,,,,,
1994-08-11,26.1828651428,,,,,,,,,,,,,
1994-08-12,26.3875446320,,,,,,,,,,,,,
1994-08-15,26.3786392212,,,,,,,,,,,,,
1994-08-16,26.5655460358,,,,,,,,,,,,,
1994-08-17,26.5477504730,,,,,,,,,,,,,
1994-08-18,26.4587306976,,,,,,,,,,,,,
1994-08-19,26.4409465790,,,,,,,,,,,,,
1994-08-22,26.4142456055,,,,,,,,,,,,,
1994-08-23,26.5655460358,,,,,,,,,,,,,
1994-08-24,26.8503227234,,,,,,,,,,,,,
1994-08-25,26.7791156769,,,,,,,,,,,,,
1994-08-26,27.1618232727,,,,,,,,,,,,,
1994-08-29,27.1440105438,,,,,,,,,,,,,
1994-08-30,27.2152290344,,,,,,,,,,,,,
1994-08-31,27.1440105438,,,,,,,,,,,,,
1994-09-01,27.0550098419,,,,,,,,,,,,,
1994-09-02,26.9393272400,,,,,,,,,,,,,
1994-09-06,26.9482288361,,,,,,,,,,,,,
1994-09-07,26.9215297699,,,,,,,,,,,,,
1994-09-08,27.0550098419,,,,,,,,,,,,,
1994-09-09,26.7702236176,,,,,,,,,,,,,
1994-09-12,26.6901397705,,,,,,,,,,,,,
1994-09-13,26.7702236176,,,,,,,,,,,,,
1994-09-14,26.7969341278,,,,,,,,,,,,,
1994-09-15,27.1351165771,,,,,,,,,,,,,
1994-09-16,26.9419937134,,,,,,,,,,,,,
1994-09-19,26.9688739777,,,,,,,,,,,,,
1994-09-20,26.4584903717,,,,,,,,,,,,,
1994-09-21,26.4584903717,,,,,,,,,,,,,
1994-09-22,26.3958225250,,,,,,,,,,,,,
1994-09-23,26.3062725067,,,,,,,,,,,,,
1994-09-26,26.4405746460,,,,,,,,,,,,,
1994-09-27,26.4226818085,,,,,,,,,,,,,
1994-09-28,26.6286201477,,,,,,,,,,,,,
1994-09-29,26.4943141937,,,,,,,,,,,,,
1994-09-30,26.4584903717,,,,,,,,,,,,,
1994-10-03,26.3958225250,,,,,,,,,,,,,
1994-10-04,26.0018386841,,,,,,,,,,,,,
1994-10-05,26.0108070374,,,,,,,,,,,,,
1994-10-06,25.9302406311,,,,,,,,,,,,,
1994-10-07,26.0466136932,,,,,,,,,,,,,
1994-10-10,26.3241767883,,,,,,,,,,,,,
1994-10-11,26.7181625366,,,,,,,,,,,,,
1994-10-12,26.7539768219,,,,,,,,,,,,,
1994-10-13,26.8435096741,,,,,,,,,,,,,
1994-10-14,26.9599075317,,,,,,,,,,,,,
1994-10-17,26.9061927795,,,,,,,,,,,,,
1994-10-18,26.8435096741,,,,,,,,,,,,,
1994-10-19,26.9688739777,,,,,,,,,,,,,
1994-10-20,26.7897739410,,,,,,,,,,,,,
1994-10-21,26.6823463440,,,,,,,,,,,,,
1994-10-24,26.4584903717,,,,,,,,,,,,,
1994-10-25,26.4853706360,,,,,,,,,,,,,
1994-10-26,26.5838413239,,,,,,,,,,,,,
1994-10-27,26.7450199127,,,,,,,,,,,,,
1994-10-28,27.3091049194,,,,,,,,,,,,,
1994-10-31,27.2106227875,,,,,,,,,,,,,
1994-11-01,26.9061927795,,,,,,,,,,,,,
1994-11-02,26.7539768219,,,,,,,,,,,,,
1994-11-03,26.8972396851,,,,,,,,,,,,,
1994-11-04,26.5480365753,,,,,,,,,,,,,
1994-11-07,26.6286201477,,,,,,,,,,,,,
1994-11-08,26.8345584869,,,,,,,,,,,,,
1994-11-09,26.8793373108,,,,,,,,,,,,,
1994-11-10,26.6913089752,,,,,,,,,,,,,
1994-11-11,26.5928039551,,,,,,,,,,,,,
1994-11-14,26.8435096741,,,,,,,,,,,,,
1994-11-15,26.7539768219,,,,,,,,,,,,,
1994-11-16,26.8435096741,,,,,,,,,,,,,
1994-11-17,26.6644363403,,,,,,,,,,,,,
1994-11-18,26.6286201477,,,,,,,,,,,,,
1994-11-21,26.3600025177,,,,,,,,,,,,,
1994-11-22,25.7869682312,,,,,,,,,,,,,
1994-11-23,25.9302406311,,,,,,,,,,,,,
1994-11-25,26.0555820465,,,,,,,,,,,,,
1994-11-28,26.1719627380,,,,,,,,,,,,,
1994-11-29,26.1630134583,,,,,,,,,,,,,
1994-11-30,26.1272029877,,,,,,,,,,,,,
1994-12-01,25.8675403595,,,,,,,,,,,,,
1994-12-02,26.1092929840,,,,,,,,,,,,,
1994-12-05,26.1361675262,,,,,,,,,,,,,
1994-12-06,26.1540660858,,,,,,,,,,,,,
1994-12-07,25.9660434723,,,,,,,,,,,,,
1994-12-08,25.7153377533,,,,,,,,,,,,,
1994-12-09,25.8138237000,,,,,,,,,,,,,
1994-12-12,25.9839401245,,,,,,,,,,,,,
1994-12-13,26.0824298859,,,,,,,,,,,,,
1994-12-14,26.2167434692,,,,,,,,,,,,,
1994-12-15,26.2973251343,,,,,,,,,,,,,
1994-12-16,26.4257755280,,,,,,,,,,,,,
1994-12-19,26.4618644714,,,,,,,,,,,,,
1994-12-20,26.3806400299,,,,,,,,,,,,,
1994-12-21,26.6604309082,,,,,,,,,,,,,
1994-12-22,26.5791969299,,,,,,,,,,,,,
1994-12-23,26.6062850952,,,,,,,,,,,,,
1994-12-27,26.7506771088,,,,,,,,,,,,,
1994-12-28,26.6153106689,,,,,,,,,,,,,
1994-12-29,26.6333484650,,,,,,,,,,,,,
1994-12-30,26.3174705505,,,,,,,,,,,,,
1995-01-03,26.4438285828,,,,,,,,,,,,,
1995-01-04,26.5701694489,,,,,,,,,,,,,
1995-01-05,26.5701694489,,,,,,,,,,,,,
1995-01-06,26.5972518921,,,,,,,,,,,,,
1995-01-09,26.6243209839,,,,,,,,,,,,,
1995-01-10,26.6513900757,,,,,,,,,,,,,
1995-01-11,26.6694450378,,,,,,,,,,,,,
1995-01-12,26.6784706116,,,,,,,,,,,,,
1995-01-13,26.9943637848,,,,,,,,,,,,,
1995-01-16,27.1567974091,,,,,,,,,,,,,
1995-01-17,27.1658248901,,,,,,,,,,,,,
1995-01-18,27.1387519836,,,,,,,,,,,,,
1995-01-19,26.9853363037,,,,,,,,,,,,,
1995-01-20,26.8860549927,,,,,,,,,,,,,
1995-01-23,26.9672889709,,,,,,,,,,,,,
1995-01-24,27.0033798218,,,,,,,,,,,,,
1995-01-25,27.0755977631,,,,,,,,,,,,,
1995-01-26,27.1026763916,,,,,,,,,,,,,
1995-01-27,27.2109680176,,,,,,,,,,,,,
1995-01-30,27.0936412811,,,,,,,,,,,,,
1995-01-31,27.2019443512,,,,,,,,,,,,,
